Employee_ID,Age,Gender,Department,Job_Role,Education,Years_of_Experience,Monthly_Salary,Performance_Rating,Job_Satisfaction,Overtime,Attendance_Percentage,Years_at_Company,Attrition
EMP0061,22,Male,HR,HR Executive,Master's,0,45723,4,3,No,87.5,0,No
EMP0062,31,Female,Operations,Operations Manager,Bachelor's,2,62420,3,3,Yes,95.2,0,No
EMP0063,39,Male,Sales,Account Manager,Master's,11,75315,4,3,No,92.1,8,No
EMP0064,25,Male,Operations,Operations Executive,Bachelor's,3,53890,3,3,No,92.2,1,No
EMP0065,25,Male,Finance,Financial Analyst,Master's,1,55409,3,4,No,92.2,0,No
EMP0066,25,Female,Marketing,Marketing Executive,Master's,3,45723,2,3,Yes,89.1,1,No
EMP0067,29,Female,Engineering,Software Engineer,Bachelor's,2,64875,4,2,No,82.7,0,No
EMP0068,34,Female,Marketing,Content Specialist,Master's,7,49788,2,2,No,90.4,6,Yes
EMP0069,48,Female,Engineering,Engineering Manager,PhD,15,99461,5,4,No,96.8,7,No
EMP0070,30,Male,Engineering,QA Engineer,Bachelor's,8,73899,1,3,Yes,84.8,4,No
EMP0071,34,Male,Sales,Sales Manager,Bachelor's,5,64115,2,3,No,82.5,2,No
EMP0072,33,Female,Operations,Operations Manager,Diploma,6,58155,2,2,Yes,98.2,4,No
EMP0073,22,Female,HR,HR Manager,Bachelor's,0,58797,2,2,Yes,84.3,0,No
EMP0074,34,Male,Operations,Operations Executive,Bachelor's,7,45191,3,2,Yes,94.0,3,No
EMP0075,29,Female,Operations,Logistics Coordinator,Bachelor's,7,42776,2,2,No,89.1,6,No
EMP0076,49,Male,Engineering,Senior Engineer,Bachelor's,16,100693,4,4,Yes,94.9,8,No
EMP0077,33,Male,Operations,Operations Executive,Master's,10,54157,2,3,No,93.9,7,No
EMP0078,22,Female,Engineering,Senior Engineer,Bachelor's,1,83463,5,3,No,100.0,1,No
EMP0079,25,Male,Operations,Operations Executive,Bachelor's,2,45938,2,3,No,95.1,2,No
EMP0080,25,Female,Finance,Financial Analyst,Bachelor's,4,52477,3,3,No,95.2,2,No
EMP0081,36,Female,Engineering,Senior Engineer,Bachelor's,8,91261,3,3,No,92.7,6,No
EMP0082,33,Male,Engineering,Engineering Manager,Bachelor's,5,91680,2,3,Yes,85.8,3,Yes
EMP0083,29,Male,Finance,Financial Analyst,Bachelor's,0,57478,3,3,Yes,95.1,0,No
EMP0084,31,Male,Finance,Financial Analyst,Bachelor's,0,55811,2,3,No,92.0,0,No
EMP0085,29,Female,Engineering,Engineering Manager,Bachelor's,7,87750,2,2,No,87.2,3,No
EMP0086,24,Female,Engineering,QA Engineer,Bachelor's,1,66499,3,3,No,91.2,1,No
EMP0087,30,Male,Sales,Sales Executive,Master's,8,51890,3,2,No,84.0,6,No
EMP0088,35,Female,Operations,Operations Manager,Diploma,12,67395,3,3,No,90.0,6,No
EMP0089,22,Male,HR,HR Executive,Master's,1,40275,4,4,No,96.9,0,No
EMP0090,43,Male,Finance,Accountant,Bachelor's,15,63076,2,4,No,99.4,8,No
EMP0091,24,Male,Operations,Logistics Coordinator,Bachelor's,1,40945,3,3,No,90.8,1,Yes
EMP0092,31,Male,Sales,Sales Executive,PhD,10,52947,2,4,No,98.4,3,No
EMP0093,34,Female,Engineering,Senior Engineer,Bachelor's,7,90858,3,3,Yes,97.1,2,No
EMP0094,35,Male,Finance,Accountant,Bachelor's,11,64905,4,1,Yes,86.1,5,No
EMP0095,31,Male,HR,HR Manager,Master's,1,54045,1,1,Yes,87.0,0,No
EMP0096,22,Male,Engineering,Engineering Manager,Bachelor's,0,87918,2,3,Yes,85.1,0,No
EMP0097,36,Female,Engineering,Engineering Manager,Diploma,10,101235,5,1,No,99.4,6,Yes
EMP0098,23,Male,Sales,Sales Manager,PhD,0,55650,2,5,Yes,96.4,0,No
EMP0099,32,Male,Sales,Sales Executive,Master's,4,53899,3,4,No,95.9,0,Yes
EMP0100,38,Female,HR,HR Executive,Master's,12,48308,2,3,No,88.0,4,No
